company,company_tier,group,official_career_domain,ats_family,priority,last_delta_check,next_delta_check,last_deep_check,next_deep_check,active_relevant_jobs,latest_job_ids,check_status,access_status,callback_priority,priority_reason,next_action
Virtusa,Tier A,Mandatory India services / consulting,https://www.virtusa.com/careers/,Virtusa ATS,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,1,creq258520,Checked This Cycle,,No,daily monitoring; 1 active relevant job(s); company has active application pipeline rows,
Genpact,Tier A,Mandatory India services / consulting,https://www.genpact.com/careers/job-search,Workday,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,4,JR10019158,Checked This Cycle,,No,daily monitoring; 4 active relevant job(s); company has active application pipeline rows,
Microsoft,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Google,Tier A,Global product / cloud / developer tools,https://careers.google.com/,Google Careers,P2,2026-08-08,2026-08-09,2026-08-08,2026-08-10,3,110385859693290182,Checked This Cycle,,No,daily monitoring; 3 active relevant job(s); company has active application pipeline rows,
Amazon,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Apple,Tier A,Global product / cloud / developer tools,https://jobs.apple.com/,Apple Jobs,P2,2026-08-08,2026-08-09,2026-08-08,2026-08-10,1,200674285-1052,Checked This Cycle,,No,daily monitoring; 1 active relevant job(s); company has active application pipeline rows,
Adobe,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Salesforce,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
ServiceNow,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Atlassian,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Intuit,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Cisco,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Red Hat,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Dell Technologies,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
HPE,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
NVIDIA,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Intel,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Qualcomm,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Akamai,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Cloudflare,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Palo Alto Networks,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
NetApp,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Nutanix,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Rubrik,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Cohesity,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Confluent,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
MongoDB,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Elastic,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Snowflake,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Databricks,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Twilio,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Okta,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Autodesk,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
OpenText,Tier A,Global product / cloud / developer tools,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
JPMorgan Chase,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Goldman Sachs,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Morgan Stanley,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Wells Fargo,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Citi,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
HSBC,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Barclays,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Deutsche Bank,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
UBS,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
BNY,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
State Street,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
American Express,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Visa,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Mastercard,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
PayPal,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Fiserv,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
FIS,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Fidelity,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
BlackRock,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
S&P Global,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
PhonePe,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Razorpay,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Groww,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
CRED,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Paytm,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Pine Labs,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Juspay,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Zeta,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Cashfree Payments,Tier A,Banks / fintech / payments,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Flipkart,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Myntra,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Swiggy,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Zomato,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Meesho,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Zepto,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Urban Company,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Dream11,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
MakeMyTrip,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Ola,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Rapido,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Practo,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
NoBroker,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
InMobi,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
BrowserStack,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Postman,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Freshworks,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Zoho,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Chargebee,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Whatfix,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Darwinbox,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
HighRadius,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Icertis,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Hasura,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Cleartrip,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Games24x7,Tier B,India product / SaaS / startups,,,P2,,2026-08-10,,2026-08-11,0,,Not checked,,No,2-day monitoring,
Walmart Global Tech,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Target,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Lowe's,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Tesco,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Best Buy,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
FedEx,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
UPS,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
DHL,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Maersk,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Booking.com,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Expedia Group,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Uber,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Siemens,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Bosch,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Mercedes-Benz Research and Development India,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Volvo Group,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Honeywell,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
GE Aerospace,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
GE HealthCare,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Schneider Electric,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
ABB,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Philips,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Medtronic,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Optum,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Shell,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
bp,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
ExxonMobil,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
McKesson,Tier A,GCC / retail / industrial / healthcare,https://careers.mckesson.com/,Workday,P2,2026-08-08,2026-08-09,2026-08-08,2026-08-10,1,733/95589233616,Checked This Cycle,,No,daily monitoring; 1 active relevant job(s); company has active application pipeline rows,
Carelon,Tier A,GCC / retail / industrial / healthcare,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Dayforce,Tier A,HR / payroll / enterprise applications,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring; company has active application pipeline rows,
Workday,Tier A,HR / payroll / enterprise applications,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
ADP,Tier A,HR / payroll / enterprise applications,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
UKG,Tier A,HR / payroll / enterprise applications,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Rippling,Tier A,HR / payroll / enterprise applications,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Deel,Tier A,HR / payroll / enterprise applications,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Remote,Tier A,HR / payroll / enterprise applications,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
Personio,Tier A,HR / payroll / enterprise applications,,,P2,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
